University,Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
Universitas Airlangga,1004,73201,Psikologi,Aktif,S1,Unggul,2019,21,896,01:42.7,humaniora,
Universitas Airlangga,1004,30203,Rekayasa Nanoteknologi,Aktif,S1,-,2019,2,0,-,teknik,
Universitas Airlangga,1004,20201,Teknik Elektro,Aktif,S1,-,2019,1,0,-,teknik,
Universitas Airlangga,1004,26201,Teknik Industri,Aktif,S1,-,2019,0,0,-,teknik,
Universitas Airlangga,1004,56203,Teknik Robotika dan Kecerdasan Buatan,Aktif,S1,-,2019,0,0,-,teknik,
Universitas Airlangga,1004,49202,Teknologi Sains Data,Aktif,S1,-,2019,0,0,-,teknik,
Universitas Diponegoro,1008,63211,Administrasi Bisnis,Aktif,S1,A,2019,16,643,01:40.2,ekonomi,
Universitas Diponegoro,1008,63201,Administrasi Publik,Aktif,S1,A,2019,17,586,01:34.5,sosial,
Universitas Diponegoro,1008,54201,Agribisnis,Aktif,S1,A,2019,12,436,01:36.3,pertanian,
Universitas Diponegoro,1008,54211,Agroekoteknologi,Aktif,S1,A,2019,15,470,01:31.3,pertanian,
Universitas Diponegoro,1008,54243,Akuakultur,Aktif,S1,A,2019,27,534,01:19.8,pertanian,
Universitas Diponegoro,1008,62201,Akuntansi,Aktif,S1,A,2019,19,1158,02:00.9,ekonomi,
Universitas Diponegoro,1008,23201,Arsitektur,Aktif,S1,A,2019,17,592,01:34.8,teknik,
Universitas Diponegoro,1008,79204,Bahasa dan Kebudayaan Jepang,Aktif,S1,A,2019,6,460,02:16.7,humaniora,
Universitas Diponegoro,1008,46201,Biologi,Aktif,S1,A,2019,29,554,01:19.1,mipa,
Universitas Diponegoro,1008,60201,Ekonomi,Aktif,S1,A,2019,16,909,01:56.8,ekonomi,
Universitas Diponegoro,1008,60202,Ekonomi Islam,Aktif,S1,A,2019,9,507,01:56.3,ekonomi,
Universitas Diponegoro,1008,45201,Fisika,Aktif,S1,A,2019,23,531,01:23.1,mipa,
Universitas Diponegoro,1008,13211,Gizi,Aktif,S1,A,2019,23,578,01:25.1,kesehatan,
Universitas Diponegoro,1008,74201,Hukum,Aktif,S1,A,2019,81,2642,01:32.6,humaniora,
Universitas Diponegoro,1008,54241,Ilmu Kelautan,Aktif,S1,A,2019,26,748,01:28.8,teknik,
Universitas Diponegoro,1008,70201,Ilmu Komunikasi,Aktif,S1,A,2019,17,658,01:38.7,sosial,
Universitas Diponegoro,1008,65201,Ilmu Pemerintahan,Aktif,S1,A,2019,13,519,01:39.9,sosial,
Universitas Diponegoro,1008,71201,Ilmu Perpustakaan,Aktif,S1,A,2019,11,477,01:43.4,humaniora,
Universitas Diponegoro,1008,11201,Kedokteran,Aktif,S1,A,2019,46,0,-,kesehatan,
Universitas Diponegoro,1008,14201,Keperawatan,Aktif,S1,A,2019,24,628,01:26.2,kesehatan,
Universitas Diponegoro,1008,13201,Kesehatan Masyarakat,Aktif,S1,A,2019,42,1515,01:36.1,kesehatan,
Universitas Diponegoro,1008,47201,Kimia,Aktif,S1,A,2019,27,538,01:19.9,mipa,
Universitas Diponegoro,1008,61201,Manajemen,Aktif,S1,A,2019,32,1423,01:44.5,ekonomi,
Universitas Diponegoro,1008,54242,Manajemen Sumber Daya Perairan,Aktif,S1,A,2019,11,368,01:33.5,teknik,
Universitas Diponegoro,1008,44201,Matematika,Aktif,S1,A,2019,17,468,01:27.5,mipa,
Universitas Diponegoro,1008,38201,Oseanografi,Aktif,S1,A,2019,28,492,01:17.6,teknik,
Universitas Diponegoro,1008,35201,Perencanaan Wilayah Dan Kota,Aktif,S1,A,2019,33,634,01:19.2,teknik,
Universitas Diponegoro,1008,54246,Perikanan Tangkap,Aktif,S1,A,2019,19,392,01:20.6,teknik,
Universitas Diponegoro,1008,54231,Peternakan,Aktif,S1,A,2019,37,1007,01:27.2,pertanian,
Universitas Diponegoro,1008,73201,Psikologi,Aktif,S1,A,2019,34,1076,01:31.6,humaniora,
Universitas Diponegoro,1008,79201,Sastra Indonesia,Aktif,S1,A,2019,8,533,02:06.6,humaniora,
Universitas Diponegoro,1008,79202,Sastra Inggris,Aktif,S1,A,2019,16,609,01:38.1,humaniora,
Universitas Diponegoro,1008,80201,Sejarah,Aktif,S1,A,2019,5,534,02:46.8,humaniora,
Universitas Diponegoro,1008,49201,Statistika,Aktif,S1,A,2019,21,518,01:24.7,mipa,
Universitas Diponegoro,1008,20201,Teknik Elektro,Aktif,S1,A,2019,27,620,01:23.0,teknik,
Universitas Diponegoro,1008,29201,Teknik Geodesi,Aktif,S1,A,2019,13,413,01:31.8,teknik,
Universitas Diponegoro,1008,26201,Teknik Industri,Aktif,S1,A,2019,17,689,01:40.5,teknik,
Universitas Diponegoro,1008,24201,Teknik Kimia,Aktif,S1,A,2019,18,717,01:39.8,teknik,
Universitas Diponegoro,1008,25201,Teknik Lingkungan,Aktif,S1,A,2019,17,462,01:27.2,teknik,
Universitas Diponegoro,1008,21201,Teknik Mesin,Aktif,S1,A,2019,23,731,01:31.8,teknik,
Universitas Diponegoro,1008,36201,Teknik Perkapalan,Aktif,S1,A,2019,16,602,01:37.6,teknik,
Universitas Diponegoro,1008,22201,Teknik Sipil,Aktif,S1,A,2019,37,597,01:16.1,teknik,
Universitas Diponegoro,1008,54244,Teknologi Hasil Perikanan,Aktif,S1,A,2019,17,420,01:24.7,pertanian,
Universitas Diponegoro,1008,41221,Teknologi Pangan,Aktif,S1,A,2019,14,417,01:29.8,pertanian,
Universitas Diponegoro,1008,82201,Antropologi Sosial,Aktif,S1,B,2019,6,403,02:07.2,humaniora,
Universitas Diponegoro,1008,64201,Hubungan Internasional,Aktif,S1,B,2019,12,450,01:37.5,sosial,
Universitas Diponegoro,1008,55201,Informatika,Aktif,S1,B,2019,21,633,01:30.1,teknik,
Universitas Diponegoro,1008,34201,Teknik Geologi,Aktif,S1,B,2019,14,397,01:28.4,teknik,
Universitas Diponegoro,1008,56201,Teknik Komputer,Aktif,S1,B,2019,14,493,01:35.2,teknik,
Universitas Diponegoro,1008,54207,Bioteknologi,Aktif,S1,-,2019,6,140,01:23.3,mipa,
Universitas Diponegoro,1008,48201,Farmasi,Aktif,S1,-,2019,8,216,01:27.0,kesehatan,
Universitas Diponegoro,1008,12201,Kedokteran Gigi,Aktif,S1,-,2019,4,181,01:45.3,kesehatan,
Universitas Sumatera Utara,1003,62201,Akuntansi,Aktif,S1,A,2019,19,865,01:45.5,ekonomi,
Universitas Sumatera Utara,1003,82201,Antropologi Sosial,Aktif,S1,A,2019,16,336,01:21.0,humaniora,
Universitas Sumatera Utara,1003,23201,Arsitektur,Aktif,S1,A,2019,19,620,01:32.6,teknik,
Universitas Sumatera Utara,1003,46201,Biologi,Aktif,S1,A,2019,16,364,01:22.7,mipa,
Universitas Sumatera Utara,1003,60201,Ekonomi Pembangunan,Aktif,S1,A,2019,19,754,01:39.7,ekonomi,
Universitas Sumatera Utara,1003,91201,Etnomusikologi,Aktif,S1,A,2019,14,265,01:18.9,seni,
Universitas Sumatera Utara,1003,48201,Farmasi,Aktif,S1,A,2019,27,831,01:30.8,kesehatan,
Universitas Sumatera Utara,1003,63211,Ilmu Administrasi Bisnis,Aktif,S1,A,2019,10,346,01:34.6,ekonomi,
